dataset,task_name,posterior_strategy_requested,ambiguity_level,method,sequence_exact_match,sequence_token_accuracy,sequence_topk_recovery,sequence_cer,symbol_topk_accuracy,prediction_set_coverage,prediction_set_avg_size,prediction_set_singleton_rate,prediction_set_rescue_rate,family_identification_accuracy,family_identification_topk_recovery,source_dataset_name,selected_symbol_count,sequence_length,synthetic_from_real
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.0,conformal_beam,0.2777777777777778,0.7555555555555555,0.6111111111111112,0.24444444444444446,0.9452054794520548,0.9472222222222223,2.427777777777778,0.25,0.19444444444444445,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.0,conformal_crf_viterbi,0.2777777777777778,0.7555555555555555,0.2777777777777778,0.24444444444444446,0.9452054794520548,0.9472222222222223,2.427777777777778,0.25,0.19444444444444445,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.0,conformal_trigram_beam,0.2222222222222222,0.6472222222222223,0.5,0.33888888888888885,0.9452054794520548,0.9472222222222223,2.427777777777778,0.25,0.19444444444444445,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.0,fixed_greedy,0.3333333333333333,0.7527777777777778,0.3333333333333333,0.24722222222222223,0.7534246575342466,0.7527777777777778,1.0,1.0,0.0,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.0,uncertainty_beam,0.2777777777777778,0.7555555555555555,0.6111111111111112,0.24444444444444446,0.958904109589041,0.9611111111111111,2.7,0.1527777777777778,0.20833333333333334,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.0,uncertainty_crf_viterbi,0.2777777777777778,0.7555555555555555,0.2777777777777778,0.24444444444444446,0.958904109589041,0.9611111111111111,2.7,0.1527777777777778,0.20833333333333334,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.0,uncertainty_trigram_beam,0.2222222222222222,0.6472222222222223,0.5,0.33888888888888885,0.958904109589041,0.9611111111111111,2.7,0.1527777777777778,0.20833333333333334,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.15,conformal_beam,0.16666666666666666,0.6861111111111111,0.5555555555555556,0.3138888888888889,0.9452054794520548,0.9611111111111111,2.863888888888889,0.1111111111111111,0.2611111111111111,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.15,conformal_crf_viterbi,0.16666666666666666,0.6861111111111111,0.16666666666666666,0.3138888888888889,0.9452054794520548,0.9611111111111111,2.863888888888889,0.1111111111111111,0.2611111111111111,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
scadsai_real_grouped,real_grouped_manifest_sequences,calibrated_classifier,0.15,conformal_trigram_beam,0.1111111111111111,0.6055555555555556,0.4444444444444444,0.38055555555555554,0.9452054794520548,0.9611111111111111,2.863888888888889,0.1111111111111111,0.2611111111111111,,,scadsai_grouped_words,5,"{'max': 6, 'mean': 4.154929577464789, 'min': 4}",False
